,역명,구군명,위도,경도,total
0,가야역,부산진구,35.155883,129.042817,508829
1,감전역,사상구,35.155528,128.991146,557052
2,강서구청역,강서구,35.211247,128.981756,368435
3,개금역,부산진구,35.153284,129.020533,1198059
4,거제역,연제구,35.188589,129.073941,850160
5,경성대부경대역,남구,35.137585,129.100548,2176006
6,고촌역,기장군,35.236031,129.1604437,84824
7,광안역,수영구,35.157916,129.113168,1509855
8,괴정역,사하구,35.099816,128.992144,1344617
9,교대역,연제구,35.19605,129.080035,2006996
10,구남역,북구,35.196804,128.994928,616384
11,구명역,북구,35.20252,128.999322,462018
12,구서역,금정구,35.247407,129.091327,1377454
13,구포역,북구,35.206697,128.996366,469592
14,국제금융센터부산은행역,남구,35.145817,129.066755,701780
15,금곡역,북구,35.267248,129.0169054,338650
16,금련산역,수영구,35.149771,129.110961,1053405
17,금사역,금정구,35.215829,129.115153,258881
18,낙민역,동래구,35.200254,129.090774,259935
19,남산역,금정구,35.265404,129.092496,806374
20,남산정역,북구,35.21334,129.023928,695461
21,남양산역,양산시,35.325359,129.019457,488858
22,남천역,수영구,35.142139,129.107978,902669
23,남포역,중구,35.097953,129.034869,2492650
24,낫개역,사하구,35.065265,128.979873,25955
25,냉정역,사상구,35.151254,129.012255,771770
26,노포역,금정구,35.28468657,129.094967,1640710
27,다대포항역,사하구,35.05782,128.9713,25955
28,다대포해수욕장,사하구,35.04867,128.9641,25955
29,당리역,사하구,35.103532,128.973846,952207
30,대연역,남구,35.135153,129.092161,1378349
31,대저역,강서구,35.213386,128.9610488,1069931
32,대티역,사하구,35.103126,128.999936,553996
33,덕천역,북구,35.210219,129.005673,1667232
34,덕포역,사상구,35.173754,128.983955,897726
35,동대신역,서구,35.110452,129.017684,568023
36,동래역,동래구,35.205641,129.078506,933194
37,동래역(4호선),동래구,35.204834,129.077082,2521431
38,동매역,사하구,35.0899,128.9742,337101
39,동백역,해운대구,35.161484,129.147897,25955
40,동원역,북구,35.258656,129.012392,993774
41,동의대역,부산진구,35.153986,129.03275,220873
42,두실역,금정구,35.256959,129.091386,827355
43,만덕역,북구,35.213,129.036527,989089
44,망미역,수영구,35.171528,129.108225,919217
45,명륜역,동래구,35.212551,129.079659,684295
46,명장역,동래구,35.205143,129.101517,1412889
47,모덕역,사상구,35.180366,128.985621,442225
48,모라역,사상구,35.189663,128.988655,300251
49,못골역,남구,35.134731,129.084415,653765
50,문현역,남구,35.139151,129.067399,671670
51,물만골역,연제구,35.176808,129.085748,713234
52,미남역,동래구,35.205503,129.068061,560019
53,민락역,수영구,35.167228,129.121909,1415873
54,반여농산물시장역,해운대구,35.217779,129.124061,503327
55,배산역,연제구,35.173504,129.095498,321307
56,범내골역,부산진구,35.1474,129.059261,667155
57,범어사역,금정구,35.273105,129.092679,1412380
58,범일역,동구,35.140952,129.059352,1090899
59,부산대양산캠퍼스역,양산시,35.316955,129.0139408,2160399
60,부산대역,금정구,35.229609,129.089358,279665
61,부산역,동구,35.115224,129.0397,2143086
62,부산진역,동구,35.127787,129.047894,2693160
63,부암역,부산진구,35.157444,129.050185,1084791
64,부전역,부산진구,35.162587,129.062952,842615
65,사상역,사상구,35.162361,128.984621,2488332
66,사직역,동래구,35.198998,129.064996,3009575
67,사하역,사하구,35.099847,128.9831,975065
68,서대신동역,서구,35.110937,129.012178,597946
69,서동역,금정구,35.213333,129.107683,453261
70,서면역(1호선),부산진구,35.158282,129.059556,363043
71,서면역(2호선),부산진구,35.15774,129.059084,5200600
72,석대역,해운대구,35.21811162,129.137179,25955
73,센텀시티역,해운대구,35.168827,129.131745,3481949
74,수안역,동래구,35.201828,129.083806,2491451
75,수영역,수영구,35.165227,129.114713,509734
76,수정역,북구,35.223356,129.009198,2164792
77,숙등역,북구,35.21197,129.012749,784422
78,시립미술관역,해운대구,35.168844,129.138933,492907
79,시청역,연제구,35.179837,129.076642,1358053
80,신장림역,사하구,35.074433,128.977041,2040091
81,신평역,사하구,35.095179,128.960564,1020085
82,안평역,기장군,35.237363,129.171823,299485
83,양산역,양산시,35.33872773,129.026391,866172
84,양정역,부산진구,35.173122,129.071366,1697767
85,연산역,연제구,35.186168,129.081534,1334485
86,연산역(3호선),연제구,35.186173,129.081526,2645075
87,영산대역,해운대구,35.225777,129.146149,409089
88,온천장역,동래구,35.220249,129.086437,2147557
89,율리역,북구,35.246714,129.012918,644175
90,자갈치역,중구,35.097372,129.02667,2507890
91,장림역,사하구,35.08109,128.9775,25955
92,장산역,해운대구,35.169914,129.176986,2138901
93,장전역,금정구,35.23809095,129.088111,1557489
94,전포역,부산진구,35.153102,129.065374,1353176
95,종합운동장역,연제구,35.19125,129.067504,748903
96,좌천역,동구,35.134361,129.054455,548865
97,주례역,사상구,35.150508,129.003077,920951
98,중동역,해운대구,35.1667,129.168604,1017156
99,중앙역,중구,35.103837,129.036371,1374118
100,증산역,양산시,35.308302,129.010246,651466
101,지게골역,남구,35.135574,129.074365,388382
102,체육공원역,강서구,35.212577,128.9696515,99108
103,초량역,동구,35.121168,129.043039,896344
104,충렬사역,동래구,35.199859,129.097636,467098
105,토성역,서구,35.100727,129.019776,1203426
106,하단역,사하구,35.10618,128.966803,2573706
107,해운대역,해운대구,35.163672,129.158908,1711318
108,호포역,양산시,35.280406,129.017097,211523
109,화명역,북구,35.236278,129.013918,1461207
