순위,지역,정류장명,승차,하차,총이용인원,Y좌표,X좌표
1,부산광역시,부산역(2600055),8819,5788,14607,129.04,35.11608
2,부산광역시,롯데호텔백화점서면역(2613488),7187,2662,9848,129.0559,35.15786
3,부산광역시,롯데호텔백화점서면역(2613487),4927,4111,9038,129.0555,35.15774
4,부산광역시,롯데호텔백화점서면역(2616302),5749,2469,8219,129.0579,35.15708
5,부산광역시,구포시장(2600925),4329,3514,7842,129.0032,35.20957
6,부산광역시,서면역.서면지하상가(2621684),5182,1465,6647,129.0593,35.15517
7,부산광역시,서면한전(2621685),4227,2013,6241,129.0593,35.15241
8,부산광역시,롯데호텔백화점서면역(2616303),3066,3114,6181,129.0566,35.15749
9,부산광역시,서구청(2600498),4031,1984,6015,129.0252,35.09765
10,부산광역시,덕천역(2601444),3543,2404,5946,129.008,35.21094
